Date,it_cs_5pp_return,nport_base_return,spy_return,active
2024-06-06,-0.0002730390852828866,-0.00010456252625468717,-1.8709279545392477e-05,-0.0002543298057374941
2024-06-07,-0.0013245362403832576,-0.0008533244461298826,-0.0012156581825512047,-0.00010887805783205292
2024-06-10,0.0026663295774728884,0.002555303225380571,0.0030897925971888895,-0.0004234630197160012
2024-06-11,0.0023357313418203717,0.002653423572048276,0.0024081026725715216,-7.237133075114989e-05
2024-06-12,0.008542017016067922,0.008604358674439058,0.008213080638207026,0.0003289363778608955
2024-06-13,0.001746937770966679,0.0023466095529903848,0.0020135328811594633,-0.00026659511019278426
2024-06-14,-0.00014805928415244775,3.8557808779456476e-05,0.0006085511814017952,-0.000756610465554243
2024-06-17,0.007565367119168183,0.007630305690522389,0.00795864829453019,-0.00039328117536200757
2024-06-18,0.0025613755954708977,0.002479197970437154,0.0025407055123127797,2.0670083158117955e-05
2024-06-20,-0.002476344950146465,-0.002551434762156951,-0.00271641746130602,0.00024007251115955482
2024-06-21,-0.0008091204112279857,-0.0015022087976166811,-0.0013407061120768171,0.0005315857008488314
2024-06-24,-0.0033954153538548392,-0.0032714441478740117,-0.003250512653033333,-0.00014490270082150643
2024-06-25,0.00404967287822124,0.003935788241395999,0.0038508483762180745,0.00019882450200316582
2024-06-26,0.0013314006589102154,0.0017664511369809522,0.001248037323762441,8.336333514777448e-05
2024-06-27,0.0011828161430211925,0.0007736881287414897,0.0015762949369151347,-0.0003934787938939422
2024-06-28,-0.0034070820976349904,-0.0038838692173539338,-0.003934877537230652,0.0005277954395956617
2024-07-01,0.0020247930683257474,0.002608309347875519,0.0020578883736119824,-3.3095305286235006e-05
2024-07-02,0.006345059513659661,0.0060795104497838775,0.006729854689488501,-0.0003847951758288405
2024-07-03,0.0049674378364210695,0.005014419606324901,0.004462518162005047,0.0005049196744160225
2024-07-05,0.005424210453408526,0.005611008645089787,0.005766470977847771,-0.0003422605244392451
2024-07-08,0.0009972035185582394,0.0009522748614078621,0.0011539403636429135,-0.0001567368450846741
2024-07-09,0.0007880398073123294,0.0007132168988236942,0.0009723676546344873,-0.00018432784732215783
2024-07-10,0.010089123849696548,0.010338621477080409,0.009895531655677692,0.0001935921940188559
2024-07-11,-0.00800456806349842,-0.008432773790877389,-0.008622834507458599,0.0006182664439601786
2024-07-12,0.005761151915734406,0.00549054259932855,0.006307657436101399,-0.0005465055203669935
2024-07-15,0.0029614887716008574,0.0029065238841671395,0.0027502318104990486,0.00021125696110180876
2024-07-16,0.007020625250691292,0.006497940190776401,0.005930080913369773,0.0010905443373215194
2024-07-17,-0.013940407749069704,-0.013447885921424554,-0.01402117447015827,8.07667210885668e-05
2024-07-18,-0.0075686031128156875,-0.007761799888414229,-0.007684813223276632,0.00011621011046094448
2024-07-19,-0.0072533008719668475,-0.006974615041799449,-0.006640604165301767,-0.0006126967066650809
2024-07-22,0.010628394564795616,0.010670117273731771,0.010309924342275956,0.0003184702225196602
2024-07-23,-0.0016912099286332792,-0.0015804527891585538,-0.0015687460660562813,-0.00012246386257699785
2024-07-24,-0.022855743977409696,-0.022793264939671844,-0.022662370838181678,-0.00019337313922801816
2024-07-25,-0.005110914526148958,-0.005037242242813389,-0.005210392136385078,9.947761023612004e-05
2024-07-26,0.011610177086926217,0.011185685260760246,0.01119971183544255,0.0004104652514836677
2024-07-29,0.0009884103122175854,0.00082161507762383,0.000587779587347903,0.0004006307248696824
2024-07-30,-0.004771748444380329,-0.004770863017050691,-0.005066577985250231,0.0002948295408699026
2024-07-31,0.015899165137270046,0.015498218159083428,0.01625470242197591,-0.00035553728470586257
2024-08-01,-0.01401390631911893,-0.013220582246430652,-0.014160914265491042,0.00014700794637211197
