Date,nport_base_return,it_20pp_return,spy_return,active_base,active_it20
2024-05-24,0.0069858196059579165,0.006889123922363858,0.0066165101077051425,0.00036930949825277407,0.00027261381465871516
2024-05-28,0.0007760330406867523,0.00034451179655395787,0.0006988453582048582,7.718768248189418e-05,-0.0003543335616509003
2024-05-29,-0.007106358046313168,-0.00755713076283763,-0.007002454045067719,-0.0001039040012454492,-0.0005546767177699117
2024-05-30,-0.006263638354855458,-0.007399787878441901,-0.006633881698410615,0.00037024334355515755,-0.0007659061800312861
2024-05-31,0.008302986386725362,0.0064844457292482244,0.009108137100940938,-0.0008051507142155766,-0.002623691371692714
2024-06-03,0.001810247941832233,0.0009428707842197311,0.000815398053666927,0.000994849888165306,0.00012747273055280413
2024-06-04,0.0018166747618555221,0.001238418034103555,0.00111774169742751,0.0006989330644280121,0.00012067633667604502
2024-06-05,0.01215608141396356,0.014013608526400332,0.011885286538725115,0.0002707948752384455,0.0021283219876752166
2024-06-06,0.00012021489670336886,-0.0004249507699427456,-1.8709279545392477e-05,0.00013892417624876134,-0.0004062414903973531
2024-06-07,-0.0009114774526904432,-0.0012823449138584379,-0.0012156581825512047,0.0003041807298607615,-6.668673130723313e-05
2024-06-10,0.00247802487027287,0.00392337110824469,0.0030897925971888895,-0.0006117677269160196,0.0008335785110558007
2024-06-11,0.002744994276837508,0.0029018565977334794,0.0024081026725715216,0.0003368916042659864,0.0004937539251619579
2024-06-12,0.008820852818724922,0.01030442931534738,0.008213080638207026,0.0006077721805178952,0.002091348677140354
2024-06-13,0.0025028069738275652,0.0024214016661567982,0.0020135328811594633,0.000489274092668102,0.00040786878499733496
2024-06-14,0.0003827165160963424,-0.00015670250439197571,0.0006085511814017952,-0.00022583466530545283,-0.000765253685793771
2024-06-17,0.007671688723301135,0.00839415873456266,0.00795864829453019,-0.0002869595712290552,0.00043551044003246886
2024-06-18,0.0024453579006961123,0.0033040933870203287,0.0025407055123127797,-9.534761161666743e-05,0.0007633878747075489
2024-06-20,-0.002904895365215542,-0.003985583292778407,-0.00271641746130602,-0.00018847790390952215,-0.0012691658314723875
2024-06-21,-0.001674732621970205,-0.0011853321084428388,-0.0013407061120768171,-0.0003340265098933878,0.00015537400363397832
2024-06-24,-0.003450319869405992,-0.0046948237199819385,-0.003250512653033333,-0.00019980721637265914,-0.0014443110669486057
2024-06-25,0.004222637168252652,0.004586994362120329,0.0038508483762180745,0.0003717887920345773,0.0007361459859022545
2024-06-26,0.0021517296062864262,0.001023319670311841,0.001248037323762441,0.0009036922825239853,-0.00022471765345059998
2024-06-27,0.0007356920067963191,0.0019039935341532467,0.0015762949369151347,-0.0008406029301188156,0.000327698597238112
2024-06-28,-0.003946986628697234,-0.0028893724719908456,-0.003934877537230652,-1.2109091466581436e-05,0.0010455050652398066
2024-07-01,0.003051599707670921,0.002728510047730395,0.0020578883736119824,0.0009937113340589385,0.0006706216741184127
2024-07-02,0.006103115694189102,0.006241702948382458,0.006729854689488501,-0.0006267389952993993,-0.00048815174110604376
2024-07-03,0.005094399106733569,0.0051084736322354034,0.004462518162005047,0.0006318809447285224,0.0006459554702303565
2024-07-05,0.0058290017731827464,0.005386235842423359,0.005766470977847771,6.253079533497571e-05,-0.00038023513542441174
2024-07-08,0.000869073449874419,0.0021499129818029596,0.0011539403636429135,-0.0002848669137684945,0.000995972618160046
2024-07-09,0.0008600919888660285,-0.0001414465445073469,0.0009723676546344873,-0.00011227566576845881,-0.0011138141991418342
2024-07-10,0.010361534421962977,0.01062269606436458,0.009895531655677692,0.0004660027662852853,0.0007271644086868888
2024-07-11,-0.00888216443252457,-0.008703539879354991,-0.008622834507458599,-0.00025932992506597086,-8.070537189639251e-05
2024-07-12,0.00528356548197298,0.006603484405924661,0.006307657436101399,-0.001024091954128419,0.00029582696982326153
2024-07-15,0.002926781390162788,0.00321843776058701,0.0027502318104990486,0.00017654957966373955,0.0004682059500879612
2024-07-16,0.0061761721128632836,0.006579706978098096,0.005930080913369773,0.0002460911994935106,0.0006496260647283229
